property,property,property,property,0,0,0,1,1,1,1,1,1
name,FeH,N,fitness,model,age,offset,mass,metallicity,rotation,explosion,remnant,offset
J0003+1556,-2.23,19,5.636530299108827,33,13.000000000002737,4.144933229976999e-09,40.0,0.1,0.0,2,28.727534369572616,0.07004944737845625
J0006+0123,-2.27,16,6.951491156799092,101,13.000000000002737,3.104264567621584e-09,30.0,0.1,0.0,2,28.276267169668284,0.059698287397344674
J0040+2729,-2.81,24,3.5100905215896985,33,13.000000000002737,3.820101401874609e-09,30.0,0.1,0.0,2,28.276267169668284,0.014489138951807201
J0041+3633,-2.37,20,3.3895983738896356,33,13.000000000002737,1.2068334109827106e-09,30.0,0.01,0.0,4,29.86190385074956,0.5374635933640549
J0055+1857,-2.34,21,10.645032715940838,101,13.000000000002737,1.5199095870777057e-09,30.0,0.01,0.0,4,29.86190385074956,0.48124486384329196
J0119-0121,-3.19,13,8.324516922663818,62,13.000000000002737,1.482842386102412e-07,40.0,1.0,0.0,3,2.9118268893432884,0.0006161099512682067
J0124+0458,-3.22,18,2.999654848344803,33,13.000000000002737,1.848717789965093e-09,30.0,0.1,0.0,2,28.276267169668284,0.00827392612103156
J0127+1100,-2.41,19,4.4612759905895985,4,13.000000000002737,3.6358154265059284e-09,40.0,0.01,0.0,4,39.74756684723496,0.40946765699282966
J0159+1219,-1.94,19,3.388409018736843,74,2.7379092627716654e-12,1.1630578999888286e-08,30.0,0.1,0.0,4,28.276267169668284,0.15192516484852941
J0302+1356,-1.88,22,2.879265822310436,33,13.000000000002737,5.736374375509001e-09,30.0,0.1,0.0,2,28.276267169668284,0.12345132510439777
J0405+2141,-3.21,18,3.2066785566967004,101,13.000000000002737,1.1857290704853085e-09,30.0,0.01,0.0,4,29.86190385074956,0.07781824497508488
J0446+2124,-2.82,18,6.644543023644855,31,2.7379092627716654e-12,4.906616668520769e-08,60.0,0.01,0.0,2,59.61755581029563,0.1952870206179348
J0554+5235,-2.29,19,8.495869385480612,4,13.000000000002737,2.811412269654312e-09,60.0,1.0,0.0,3,3.6910198788571904,0.0016409352259766918
J0643+5934,-2.57,20,6.526423143202447,33,13.000000000002737,9.354019780971612e-10,30.0,0.01,0.0,4,29.86190385074956,0.2738047455813767
J0653+4735,-2.41,24,4.34077948757227,4,13.000000000002737,6.838983157564371e-09,30.0,0.01,0.0,4,29.86190385074956,0.5237110494713564
J0711+3538,-3.25,18,1.5042936363756323,101,2.7379092627716654e-12,2.755416450561654e-10,40.0,0.001,0.0,4,39.96803960783636,0.5830402918615125
J0748+3209,-3.08,16,3.778603581368752,74,2.7379092627716654e-12,3.083431010519888e-09,30.0,0.01,0.0,2,29.86190385074956,0.11148853725934388
J0804+5740,-2.47,24,7.345684177838233,73,13.000000000002737,1.0297341090925727e-08,30.0,1.0,0.0,3,3.032449964364389,0.0009504828670051646
J0824+3025,-2.72,8,inf,74,13.000000000002737,6.092585286276986e-08,30.0,0.1,0.0,4,28.276267169668284,0.028855901240551984
J0934-0108,-2.34,21,10.599486799641424,101,13.000000000002737,1.1387294995834907e-09,30.0,0.01,0.0,2,29.86190385074956,0.3694943912739064
J0948+0000,-2.79,18,7.773662709796239,74,2.7379092627716654e-12,8.608297019652156e-09,30.0,0.1,0.0,2,28.276267169668284,0.019426371375286022
J0949+2707,-2.9,12,3.748618875722904,31,2.7379092627716654e-12,3.2901839897014895e-07,40.0,1.0,0.0,3,2.9118268893432884,0.0010533445983010314
J1003-0358,-2.18,16,6.644853496764892,74,13.000000000002737,8.682470320486857e-08,80.0,0.01,0.0,2,78.59782235546902,0.7584076941965667
J1005-0350,-2.29,18,8.283279394419266,101,13.000000000002737,3.2619313916626425e-09,20.0,1.0,0.0,3,1.6612804311458653,0.0012715262246205672
J1011+3524,-2.25,15,10.353729148709247,74,13.000000000002737,4.451987806186608e-08,30.0,0.1,0.0,4,28.276267169668284,0.06649416501643418
J1020+4046,-2.94,15,7.758855892165486,101,2.7379092627716654e-12,3.462987940849871e-08,40.0,0.1,0.0,2,28.727534369572616,0.015918842743687767
J1044+3713,-2.03,22,3.0688115746002955,41,13.000000000002737,2.799581183543509e-08,30.0,0.01,0.0,4,29.86190385074956,0.8949883665396572
J1044-0358,-2.13,16,4.103791261703634,74,13.000000000002737,6.64465406030601e-08,30.0,0.1,0.0,4,28.276267169668284,0.08949793872987671
J1058-0138,-2.28,14,10.529761184890313,74,13.000000000002737,3.953069777073992e-08,80.0,0.01,0.0,2,78.59782235546902,0.4978845055672325
J1059+0208,-2.3,20,3.6257492842945154,33,13.000000000002737,4.276143161785484e-09,60.0,0.1,0.0,4,41.990879566172005,0.05170987837091795
J1101+2031,-2.52,19,6.406558064823463,101,13.000000000002737,5.386529000617202e-10,30.0,0.01,0.0,2,29.86190385074956,0.27309184119382934
J1102+0102,-2.32,21,6.928003297710495,4,13.000000000002737,1.0009060247284651e-09,30.0,1.0,0.0,3,3.032449964364389,0.0011049109475148589
J1109+0754,-3.31,22,2.1282084765844353,33,13.000000000002737,6.735084157050153e-10,40.0,0.1,0.0,2,28.727534369572616,0.005410610300429497
J1122+1223,-2.3,19,8.975878346959082,33,13.000000000002737,2.2977363900444914e-09,30.0,0.01,0.0,2,29.86190385074956,0.4598317222312913
J1145+0359,-2.43,22,3.9647932800486294,101,13.000000000002737,4.995842517452331e-09,30.0,0.01,0.0,4,29.86190385074956,0.37650771188279947
J1158+0734,-2.93,23,2.1381406432554124,101,2.7379092627716654e-12,1.249285563886815e-09,30.0,0.01,0.0,4,29.86190385074956,0.11118082982985056
J1205+1309,-1.67,21,4.133398931881822,101,13.000000000002737,1.82531542103348e-08,30.0,0.1,0.0,2,28.276267169668284,0.1565039265278897
J1207+2244,-2.76,21,7.270432945000106,33,13.000000000002737,4.804633912947054e-10,30.0,0.01,0.0,2,29.86190385074956,0.15844165772495672
J1208+3954,-2.64,21,2.7346377639092854,101,13.000000000002737,8.0981654715373e-10,30.0,0.01,0.0,4,29.86190385074956,0.2439995433058022
J1213+2506,-2.83,16,7.3095016150018814,33,13.000000000002737,5.803846847562966e-10,30.0,0.01,0.0,2,29.86190385074956,0.18072039724281674
J1218+2838,-2.13,18,3.5994833892032005,101,2.7379092627716654e-12,2.7599960095159304e-09,30.0,0.1,0.0,2,28.276267169668284,0.0874109084127015
J1221+0907,-2.34,21,3.695470835834856,33,13.000000000002737,1.5925540886030376e-09,30.0,0.01,0.0,2,29.86190385074956,0.5121856930207198
J1225-0452,-2.52,22,2.0587218686716358,101,11.000000000002737,9.70859947990732e-10,30.0,0.01,0.0,2,29.86190385074956,0.2783503476385729
J1226+2323,-2.47,22,4.516548981166132,33,13.000000000002737,9.989330473914038e-10,40.0,0.1,0.0,2,28.727534369572616,0.030970071975860047
J1236+3424,-2.53,20,2.3318236414401974,101,13.000000000002737,8.009471974546045e-10,30.0,0.01,0.0,2,29.86190385074956,0.309017856236817
J1250-0307,-2.07,18,4.920400312582883,101,2.7379092627716654e-12,4.475037562734485e-09,30.0,0.01,0.0,2,29.86190385074956,0.5873392014601452
J1300+2632,-1.28,17,8.801085497370494,2,2.7379092627716654e-12,7.653014111319578e-08,15.0,1.0,0.0,1,1.626340943779974,0.015732503391383157
J1341+3255,-2.81,22,1.6357734684075653,2,13.000000000002737,8.260640504964556e-10,30.0,0.01,0.0,4,29.86190385074956,0.15698339431589436
J1345+0513,-2.69,21,3.3457711425641916,61,13.000000000002737,1.497793777893719e-09,40.0,0.1,0.0,2,28.727534369572616,0.01872537895419013
J1352+2646,-3.06,19,3.3903533333097937,33,13.000000000002737,2.369365259546896e-10,30.0,0.01,0.0,4,29.86190385074956,0.08868347182972347
J1400+1215,-2.42,21,3.4313366286146922,101,13.000000000002737,2.024273471068483e-09,30.0,0.01,0.0,2,29.86190385074956,0.35181988700429223
J1400+4926,-2.58,19,8.167536723167403,33,13.000000000002737,2.3823639727638124e-09,15.0,0.1,0.0,3,1.8135279004206506,0.0009097210797136546
J1413+1727,-3.25,18,3.347388639576071,101,13.000000000002737,1.6373791211776734e-10,30.0,0.01,0.0,2,29.86190385074956,0.05315066734098289
J1414+1457,-2.58,22,3.3073570066212112,101,13.000000000002737,1.1464140747818874e-09,40.0,0.1,0.0,2,28.727534369572616,0.0246234977962958
J1414+1721,-2.45,19,9.239595109954196,33,13.000000000002737,1.2447462505171814e-09,30.0,0.01,0.0,2,29.86190385074956,0.3038844229121792
J1423+0322,-2.61,21,5.413910815954864,33,13.000000000002737,8.96313800957671e-10,30.0,0.01,0.0,4,29.86190385074956,0.23358409852261258
J1434+3540,-1.91,18,5.5342952854928935,74,13.000000000002737,1.0035481640136013e-07,30.0,0.1,0.0,4,28.276267169668284,0.11059142239874925
J1459+0444,-2.76,22,2.5075293159147765,101,13.000000000002737,4.4615960925753484e-10,30.0,0.01,0.0,2,29.86190385074956,0.18794117778765218
J1501+3445,-2.61,20,3.4438454196661703,33,13.000000000002737,2.136951449127622e-09,30.0,0.1,0.0,2,28.276267169668284,0.02039243420956155
J1516+0442,-2.33,21,3.702054409709701,101,13.000000000002737,9.31925647762455e-10,30.0,0.01,0.0,2,29.86190385074956,0.4166110230183266
J1518+2544,-2.15,20,7.428882566060595,21,13.000000000002737,1.3907806628576935e-08,30.0,0.1,0.0,2,28.276267169668284,0.08375540586114089
J1520+5500,-2.18,20,5.105870965832892,4,13.000000000002737,3.0448597532206634e-09,30.0,0.1,0.0,2,28.276267169668284,0.07375901751176706
J1523+0714,-2.63,23,2.207964409878318,101,13.000000000002737,1.2516101488557752e-09,30.0,0.01,0.0,4,29.86190385074956,0.17290741777051488
J1548+2113,-2.33,19,10.90775257683018,101,13.000000000002737,7.607217078486883e-10,30.0,0.01,0.0,4,29.86190385074956,0.33807122521342114
J1551+2040,-2.48,20,15.51733676609559,93,2.7379092627716654e-12,1.1287406276316858e-07,30.0,0.1,0.0,3,2.853530638922816,0.002762482447536019
J1604+1305,-2.15,22,4.61575291728556,101,13.000000000002737,2.081656874652893e-08,30.0,0.01,0.0,2,29.86190385074956,0.7828659037814365
J1612-0207,-2.14,20,3.2971562185924506,61,13.000000000002737,1.2853979269866755e-08,60.0,0.1,0.0,4,41.990879566172005,0.07416152742640719
J1634+0206,-2.15,20,4.109053091610098,74,13.000000000002737,5.7848044132668974e-09,30.0,0.01,0.0,4,29.86190385074956,0.754380141132885
J1640+1550,-2.89,20,4.574370151259921,33,13.000000000002737,3.570659323770542e-10,120.0,0.1,0.0,2,50.67397778949373,0.013725633248918623
J1641+0334,-3.26,14,1.0829357906183548,3,13.000000000002737,2.846948066181909e-09,30.0,0.1,0.0,2,28.276267169668284,0.006740338407826174
J1650+4313,-3.02,18,3.383009168106234,101,13.000000000002737,7.946028279803841e-10,30.0,0.1,0.0,2,28.276267169668284,0.012387865891917482
J1657+3443,-2.6,22,3.232057862065267,101,13.000000000002737,1.001507765607812e-09,30.0,0.1,0.0,4,28.276267169668284,0.02448967464158136
J1702+1732,-2.29,19,2.141333126476607,101,2.7379092627716654e-12,3.4019775330129676e-09,30.0,0.01,0.0,2,29.86190385074956,0.47384261254964827
J1717+2449,-2.45,24,6.918905550270007,101,13.000000000002737,6.324330337204032e-09,30.0,0.01,0.0,2,29.86190385074956,0.369945805114215
J1719+1358,-2.77,21,4.329646982899525,33,13.000000000002737,9.737106121399108e-10,30.0,0.01,0.0,2,29.86190385074956,0.17659583081916436
J1730+4143,-2.5,21,3.864849039422169,33,13.000000000002737,1.1068789773638343e-09,30.0,0.01,0.0,4,29.86190385074956,0.3226338555032214
J1745+5410,-2.03,21,2.4831927974561245,33,13.000000000002737,4.173905610027617e-09,30.0,0.01,0.0,2,29.86190385074956,0.8405457903142424
J1833+1309,-2.64,15,2.7314243341828246,33,13.000000000002737,1.5871178260518093e-09,30.0,0.01,0.0,2,29.86190385074956,0.2558859758302648
J2114-0616,-2.55,24,8.56231595085022,3,13.000000000002737,8.277166507753009e-09,40.0,0.1,0.0,2,28.727534369572616,0.02853160441916114
J2159+0308,-2.83,22,1.9166529683115865,101,13.000000000002737,1.0679151452031022e-09,120.0,0.1,0.0,4,50.67397778949373,0.013563675885286675
J2211+0454,-0.63,21,6.998523259669934,3,13.000000000002737,1.6560115000396891e-06,120.0,1.0,0.0,3,5.510397696798066,0.09495906953906724
J2216+0246,-2.56,22,2.871376475710512,33,13.000000000002737,1.0182767962163553e-09,30.0,0.01,0.0,4,29.86190385074956,0.2969944787997212
J2256+0215,-2.27,25,6.591031840715379,4,13.000000000002737,5.525428448116543e-09,80.0,1.0,0.0,3,4.9668031481582915,0.0016880890836611928
J2257+3859,-2.65,21,11.421460515254278,74,13.000000000002737,1.1607941718949633e-08,30.0,0.1,0.0,4,28.276267169668284,0.024422977709998628
J2333+0505,-2.43,18,7.921874396473044,33,13.000000000002737,2.215207184352863e-09,30.0,0.01,0.0,4,29.86190385074956,0.3277122456200799
J2347+2851,-2.36,22,6.5983990234076755,41,13.000000000002737,6.649637063205205e-09,40.0,0.1,0.0,4,28.727534369572616,0.04101560956981931
J2349+3119,-2.01,22,5.496482928407887,101,13.000000000002737,2.920529207361966e-09,30.0,0.01,0.0,4,29.86190385074956,0.8630569860504889
