property,property,property,property,0,0,0,0,0
name,FeH,N,fitness,mass,energy,mixing,remnant,offset
J0003+1556,-2.23,9,1.5628956731227945,10.6,0.6000000000000001,0.003981071705534973,1.41,0.022430833075798302
J0006+0123,-2.27,9,1.5855348949588701,11.3,0.9,0.015848931924611134,1.487,0.006436265802562881
J0040+2729,-2.81,10,1.580890392798332,10.5,0.6000000000000001,0.003981071705534973,1.434,0.004846447469036439
J0041+3633,-2.37,10,2.5227264658306647,10.7,0.6000000000000001,0.003981071705534973,1.433,0.014437940803911767
J0055+1857,-2.34,10,4.299986789355361,10.7,0.9,0.0,1.42,0.008773585078548776
J0119-0121,-3.19,5,13.832147799600335,10.6,0.30000000000000004,0.00630957344480193,1.437,0.021356081742866722
J0124+0458,-3.22,8,1.5717461815123694,13.4,1.2000000000000002,0.01,1.59,0.0005375339033041549
J0127+1100,-2.41,9,2.3079981529719795,11.3,0.9,0.0,1.487,0.007658832008023069
J0159+1219,-1.94,10,1.526101394806549,11.3,0.9,0.00630957344480193,1.487,0.01736165315969402
J0302+1356,-1.88,10,1.6454512166351876,13.4,1.5,0.001584893192461114,1.576,0.008422159665399293
J0405+2141,-3.21,8,2.4861741580142267,13.4,1.2000000000000002,0.00630957344480193,1.59,0.0005066240325495568
J0446+2124,-2.82,7,6.161703444005519,11.9,0.30000000000000004,0.039810717055349734,2.027,0.04603911674921203
J0554+5235,-2.29,9,2.2439582570851884,10.6,0.6000000000000001,0.001584893192461114,1.41,0.020606961861556004
J0643+5934,-2.57,10,2.66211928494621,11.9,0.6000000000000001,0.015848931924611134,1.666,0.015989971082049064
J0653+4735,-2.41,9,1.643389153593596,11.3,0.9,0.00630957344480193,1.487,0.0062841415708987085
J0711+3538,-3.25,8,0.9295768358991475,13.4,1.2000000000000002,0.01,1.59,0.00041400548775665907
J0748+3209,-3.08,7,0.5160986263712755,10.6,0.9,0.001584893192461114,1.405,0.0030210770635347786
J0804+5740,-2.47,10,3.239549942418467,10.6,0.9,0.001584893192461114,1.405,0.0092253986871916
J0824+3025,-2.72,4,inf,10.2,1.8,0.039810717055349734,1.382,0.005768683383027894
J0934-0108,-2.34,10,2.5424223087503925,10.5,0.6000000000000001,0.003981071705534973,1.434,0.013840007345964942
J0948+0000,-2.79,7,5.134341088981628,11.3,0.9,0.0025118864315095794,1.487,0.003032707303100806
J0949+2707,-2.9,5,3.7159041584847197,10.6,0.30000000000000004,0.00630957344480193,1.437,0.031184369067964193
J1003-0358,-2.18,7,4.898255989368038,11.3,0.9,0.003981071705534973,1.487,0.0116238846538726
J1005-0350,-2.29,9,0.8767440139310484,11.3,0.9,0.00630957344480193,1.487,0.007215615124887265
J1011+3524,-2.25,7,1.8823021891341705,11.3,0.9,0.003981071705534973,1.487,0.010114109464778191
J1020+4046,-2.94,6,1.7120131400541698,10.6,0.6000000000000001,0.003981071705534973,1.41,0.005352443551662796
J1044+3713,-2.03,10,1.7397061486735599,13.4,1.5,0.0,1.576,0.005439233667154455
J1044-0358,-2.13,8,2.2566084455243387,11.3,0.9,0.0025118864315095794,1.487,0.014551012375533487
J1058-0138,-2.28,7,4.177916088716787,11.3,1.2000000000000002,0.001584893192461114,1.476,0.005177147362010781
J1059+0208,-2.3,10,3.1469663170657576,10.6,0.6000000000000001,0.001584893192461114,1.41,0.01660488679456353
J1101+2031,-2.52,9,1.2291867589179695,11.3,0.9,0.00630957344480193,1.487,0.004392388275311847
J1102+0102,-2.32,10,3.0597235544221495,10.6,0.30000000000000004,0.015848931924611134,1.437,0.016136750879041865
J1109+0754,-3.31,10,1.290527465390164,10.6,0.6000000000000001,0.001584893192461114,1.41,0.0018351831705734657
J1122+1223,-2.3,10,1.63328007849016,10.7,0.6000000000000001,0.00630957344480193,1.433,0.012955673276349887
J1145+0359,-2.43,10,2.212050637769861,10.7,0.6000000000000001,0.003981071705534973,1.433,0.010590467984061972
J1158+0734,-2.93,10,1.9837794698069395,11.9,0.30000000000000004,0.025118864315095794,2.027,0.21446766101746811
J1205+1309,-1.67,10,1.8144387637992339,13.2,1.2000000000000002,0.025118864315095794,1.601,0.011368222933678566
J1207+2244,-2.76,10,1.7852077253401424,10.7,0.6000000000000001,0.003981071705534973,1.433,0.005200954955502065
J1208+3954,-2.64,10,1.767148104236669,10.6,0.6000000000000001,0.001584893192461114,1.41,0.00799420739417013
J1213+2506,-2.83,9,2.499027099774219,11.3,0.9,0.003981071705534973,1.487,0.00250020644814403
J1218+2838,-2.13,10,2.6149034565853255,10.6,0.6000000000000001,0.003981071705534973,1.41,0.021359688599133016
J1221+0907,-2.34,10,1.4908917572994265,13.2,1.2000000000000002,0.015848931924611134,1.601,0.004210994476301614
J1225-0452,-2.52,10,2.1616899575121367,14.4,1.5,0.015848931924611134,1.725,0.0017417309529966336
J1226+2323,-2.47,10,2.2578816740435563,10.6,0.6000000000000001,0.001584893192461114,1.41,0.011729585770845692
J1236+3424,-2.53,9,1.4652937690876482,14.4,1.5,0.015848931924611134,1.725,0.0018137373168599584
J1250-0307,-2.07,9,1.532802817198267,11.3,0.9,0.015848931924611134,1.487,0.00799819436558564
J1300+2632,-1.28,9,3.1907606292153794,15.6,0.30000000000000004,0.251188643150958,4.303,0.09243976128341665
J1341+3255,-2.81,10,1.2271054602162936,13.2,1.2000000000000002,0.015848931924611134,1.601,0.0012943315230818718
J1345+0513,-2.69,10,3.4612287527015666,13.2,0.9,0.039810717055349734,1.888,0.005106838595633771
J1352+2646,-3.06,10,1.3017289623379424,13.2,1.2000000000000002,0.015848931924611134,1.601,0.0007728776856359281
J1400+1215,-2.42,10,2.274860561328769,13.2,1.2000000000000002,0.015848931924611134,1.601,0.0025306757457595167
J1400+4926,-2.58,10,1.7167388995944142,11.9,0.6000000000000001,0.015848931924611134,1.666,0.013969626960114279
J1413+1727,-3.25,9,2.037736991326915,13.2,1.2000000000000002,0.01,1.601,0.0005431232837704183
J1414+1457,-2.58,10,2.782502484299546,10.6,0.6000000000000001,0.001584893192461114,1.41,0.008775600889963412
J1414+1721,-2.45,10,3.4349285256001862,10.5,0.6000000000000001,0.003981071705534973,1.434,0.011261763541502347
J1423+0322,-2.61,10,3.37126333678571,10.5,0.6000000000000001,0.0025118864315095794,1.434,0.008291526075699777
J1434+3540,-1.91,8,2.364691613791196,13.4,1.5,0.0,1.576,0.007064178777437554
J1459+0444,-2.76,10,2.397740690445256,10.5,0.6000000000000001,0.003981071705534973,1.434,0.005893024073680711
J1501+3445,-2.61,10,1.831128108820313,11.9,0.6000000000000001,0.015848931924611134,1.666,0.011797758540433445
J1516+0442,-2.33,10,2.9882728494232396,13.4,1.5,0.0,1.576,0.002817038732637585
J1518+2544,-2.15,10,2.3707460367478106,10.7,0.6000000000000001,0.003981071705534973,1.433,0.02640637172292157
J1520+5500,-2.18,10,1.766516352635706,22.5,10.000000000000002,0.01,1.492,0.0012877332776786842
J1523+0714,-2.63,10,1.6583663188711213,13.2,0.9,0.039810717055349734,1.888,0.003909309356477302
J1548+2113,-2.33,9,2.902059432003056,13.2,1.2000000000000002,0.015848931924611134,1.601,0.002955435972267861
J1551+2040,-2.48,8,4.486181684866223,10.6,0.30000000000000004,0.01,1.437,0.025115091829193196
J1604+1305,-2.15,9,1.0394828831589322,11.3,0.9,0.00630957344480193,1.487,0.00970277415641188
J1612-0207,-2.14,10,3.115521996700665,10.6,0.6000000000000001,0.001584893192461114,1.41,0.026553102873072616
J1634+0206,-2.15,10,2.5985578387225425,13.4,1.2000000000000002,0.01,1.59,0.004628786157674517
J1640+1550,-2.89,9,1.9764296944063506,10.6,0.6000000000000001,0.001584893192461114,1.41,0.005081519683311198
J1641+0334,-3.26,5,1.4536504024362729,11.3,0.9,0.00630957344480193,1.487,0.0009219295487465948
J1650+4313,-3.02,8,1.0257770341490242,11.3,0.9,0.00630957344480193,1.487,0.0016402437181847313
J1657+3443,-2.6,10,0.8555163836730021,11.9,0.6000000000000001,0.015848931924611134,1.666,0.014914137031827061
J1702+1732,-2.29,10,0.8891072585114772,11.9,0.6000000000000001,0.015848931924611134,1.666,0.02832318968250757
J1717+2449,-2.45,10,2.6705903411253806,10.5,0.6000000000000001,0.003981071705534973,1.434,0.012084501171874802
J1719+1358,-2.77,10,2.445890035971916,10.6,0.6000000000000001,0.001584893192461114,1.41,0.005702595253575403
J1730+4143,-2.5,10,2.1583113155204963,13.4,1.5,0.0,1.576,0.0019271730204737845
J1745+5410,-2.03,10,0.8960373681861381,13.4,1.5,0.001584893192461114,1.576,0.0049628372401127946
J1833+1309,-2.64,8,1.2668536135567066,10.5,0.6000000000000001,0.0025118864315095794,1.434,0.009150830147844558
J2114-0616,-2.55,9,2.8569191607370388,13.4,0.9,0.025118864315095794,1.657,0.0028938518875841522
J2159+0308,-2.83,9,1.746997105226005,10.9,0.30000000000000004,0.015848931924611134,1.59,0.02780307609893876
J2211+0454,-0.63,7,1.5376413783351863,11.3,0.6000000000000001,0.015848931924611134,1.508,0.4268008915490611
J2216+0246,-2.56,10,2.1050521537374034,10.7,0.6000000000000001,0.003981071705534973,1.433,0.00866817211945195
J2256+0215,-2.27,10,3.763953009147094,13.4,0.6000000000000001,0.039810717055349734,2.232,0.09113230683530972
J2257+3859,-2.65,9,3.031741842260053,13.2,1.2000000000000002,0.015848931924611134,1.601,0.001936340965325535
J2333+0505,-2.43,10,2.0182207756370745,10.9,0.6000000000000001,0.00630957344480193,1.462,0.011544786989947488
J2347+2851,-2.36,10,2.9921362593373946,30.5,10.000000000000002,0.0025118864315095794,1.77,0.000901182675786683
J2349+3119,-2.01,10,1.4230611662963948,11.9,0.6000000000000001,0.015848931924611134,1.666,0.04756396381143396
