,Isotope,,Sne+2008,,Gor1999,,Bis2014 This Work,,
Z,A,NâŠ™,s- r- s- r-,,,,s-,s-,r-
31,69Ga,2.20E+01,0.49,0.51,0.719,0.281,-,0.653,0.347
31,71Ga,1.46E+01,0.689,0.311,0.866,0.134,-,0.832,0.168
32,70Ge,2.43E+01,1,0,1,0,-,1,0
32,72Ge,3.17E+01,0.567,0.433,1,0,-,0.678,0.322
32,73Ge,8.80E+00,0.384,0.616,0.283,0.717,-,0.548,0.452
32,74Ge,4.12E+01,0.366,0.634,0.522,0.478,-,0.499,0.501
32,76Ge,8.50E+00,0,1,0,1,-,0.247,0.753
33,75As,6.10E+00,0.215,0.785,0.38,0.62,-,0.581,0.419
34,76Se,6.32E+00,1,0,1,0,-,1,0
34,77Se,5.15E+00,0.356,0.644,0.27,0.73,-,0.605,0.395
34,78Se,1.60E+01,0.507,0.493,1,0,-,0.547,0.453
34,80Se,3.35E+01,0.235,0.765,0.161,0.839,-,0.187,0.813
34,82Se,5.89E+00,0,1,0,1,-,0.111,0.889
35,79Br,5.43E+00,0.1,0.9,0.114,0.886,-,0.278,0.722
35,81Br,5.28E+00,0.094,0.906,0.229,0.771,-,0.252,0.748
36,80Kr,1.30E+00,1,0,1,0,0.133,1,0
36,82Kr,6.51E+00,1,0,1,0,0.274,1,0
36,83Kr,6.45E+00,0.347,0.653,0.321,0.679,0.095,0.291,0.709
36,84Kr,3.18E+01,0.37,0.63,0.257,0.743,0.117,0.222,0.778
36,86Kr,9.61E+00,0.911,0.089,1,0,0.152,0.677,0.323
37,85Rb,5.12E+00,0.198,0.802,0.44,0.56,0.0.326,,0.674
37,87Rb,2.11E+00,0.957,0.043,0.861,0.139,0.249,0.96,0.04
38,86Sr,2.30E+00,1,0,1,0,0.611,1,0
38,87Sr,1.60E+00,1,0,1,0,0.582,1,0
38,88Sr,1.92E+01,0.869,0.131,0.787,0.213,0.711,0.903,0.097
39,89Y,4.63E+00,0.719,0.281,0.76,0.24,0.719,0.778,0.222
40,90Zr,5.55E+00,0.821,0.179,0.529,0.471,0.603,0.807,0.193
40,91Zr,1.21E+00,0.967,0.033,0.826,0.174,0.712,0.957,0.043
40,92Zr,1.85E+00,0.705,0.295,0.966,0.034,0.682,0.745,0.255
40,94Zr,1.87E+00,0.908,0.092,1,0,0.836,0.925,0.075
40,96Zr,3.02E-01,0,1,1,0,0.387,0.291,0.709
41,93Nb,7.80E-01,0.676,0.324,0.873,0.127,0.56,0.651,0.349
42,95Mo,4.04E-01,0.47,0.53,0.653,0.347,0.454,0.479,0.521
42,96Mo,4.25E-01,1,0,1,0,0.782,1,0
42,97Mo,2.45E-01,0.642,0.358,0.67,0.33,0.433,0.563,0.437
42,98Mo,6.22E-01,0.847,0.153,0.881,0.119,0.575,0.804,0.196
42,100Mo,2.50E-01,0,1,0.096,0.904,0.023,0.038,0.962
44,99Ru,2.27E-01,0.3,0.7,0.238,0.762,0.21,0.312,0.688
44,100Ru,2.24E-01,1,0,1,0,0.801,1,0
44,101Ru,3.04E-01,0.158,0.842,0.122,0.878,0.128,0.141,0.859
44,102Ru,5.62E-01,0.444,0.556,0.44,0.56,0.433,0.476,0.524
44,104Ru,3.32E-01,0,1,0,1,0.014,0.023,0.977
45,103Rh,3.70E-01,0.16,0.84,0.197,0.803,0.118,0.122,0.878
46,104Pd,1.51E-01,1,0,1,0,0.839,1,0
46,105Pd,3.03E-01,0.129,0.871,0.123,0.877,0.107,0.129,0.871
46,106Pd,3.71E-01,0.491,0.509,0.539,0.461,0.398,0.51,0.49
46,108Pd,3.59E-01,0.609,0.391,0.669,0.331,0.505,0.625,0.375
46,110Pd,1.59E-01,0,1,0.019,0.981,0.016,0.044,0.956
47,107Ag,2.54E-01,0.195,0.805,0.169,0.831,0.001,0.134,0.866
47,109Ag,2.36E-01,0.231,0.769,0.271,0.729,0.226,0.286,0.714
48,110Cd,1.97E-01,1,0,1,0,0.776,1,0
48,111Cd,2.01E-01,0.203,0.797,0.244,0.756,0.249,0.321,0.679
48,112Cd,3.80E-01,0.503,0.497,0.537,0.463,0.499,0.575,0.425
48,113Cd,1.92E-01,0.302,0.698,0.354,0.646,0.285,0.365,0.635
48,114Cd,4.52E-01,0.672,0.328,0.619,0.381,0.591,0.693,0.307
48,116Cd,1.18E-01,0,1,0.191,0.809,0.088,0.087,0.913
49,115In,1.70E-01,0.32,0.68,0.347,0.653,0.298,0.391,0.609
50,116Sn,5.24E-01,1,0,1,0,0.683,1,0
50,117Sn,2.77E-01,0.533,0.467,0.458,0.542,0.384,0.501,0.499
50,118Sn,8.73E-01,0.837,0.163,0.721,0.279,0.554,0.728,0.272
50,119Sn,3.09E-01,0.705,0.295,0.405,0.595,0.469,0.618,0.382
50,120Sn,1.18E+00,0.934,0.066,0.818,0.182,0.627,0.85,0.15
50,122Sn,1.67E-01,0,1,0.09,0.91,0.364,0.101,0.899
50,124Sn,2.09E-01,0,1,0,1,-,0.008,0.992
51,121Sb,1.79E-01,0.294,0.706,0.533,0.467,0.309,0.393,0.607
51,123Sb,1.34E-01,0,1,0.157,0.843,0.05,0.051,0.949
52,122Te,1.22E-01,1,0,1,0,0.736,1,0
52,123Te,4.30E-02,1,0,1,0,0.741,1,0
52,124Te,2.26E-01,1,0,1,0,0.781,1,0
52,125Te,3.35E-01,0.248,0.752,0.236,0.764,0.174,0.269,0.731
52,126Te,8.89E-01,0.462,0.538,0.447,0.553,0.363,0.474,0.526
52,128Te ,1.49E+00,0,1,0.011,0.989,0.033,0.026,0.974
52,130Te ,1.58E+00,0,1,0.003,0.997,-,0.004,0.996
53,127I,1.10E+00,0.055,0.945,0.229,0.771,0.038,0.032,0.968
54,128Xe,1.22E-01,1,0,1,0,0.763,1,0
54,129Xe ,1.50E+00,0.051,0.949,0.28,0.72,0.028,0.03,0.97
54,130Xe,2.39E-01,1,0,1,0,0.851,1,0
54,131Xe ,1.19E+00,0.084,0.916,0.309,0.691,0.065,0.055,0.945
54 132Xe 1.44E+00,,,0.384,0.616,0.546,0.454,0.268,0.353,0.647
54 134Xe,,5.27E-01,0,1,0.269,0.731,0.041,0.028,0.972
54 136Xe,,4.29E-01,0,1,0.231,0.769,-,0.001,0.999
55 133Cs,,3.71E-01,0.151,0.849,0.167,0.833,0.135,0.157,0.843
56 134Ba,,1.08E-01,1,0,1,0,1.011,1,0
56 135Ba,,2.95E-01,0.186,0.814,0.159,0.841,0.285,0.249,0.751
56 136Ba,,3.51E-01,1,0,1,0,1.013,1,0
56 137Ba,,5.02E-01,0.568,0.432,0.661,0.339,0.632,0.647,0.353
56 138Ba 3.21E+00,,,0.94,0.06,0.933,0.067,0.918,0.959,0.041
57 139La,,4.57E-01,0.754,0.246,0.656,0.344,0.755,0.8,0.2
58 140Ce 1.04E+00,,,0.909,0.091,0.846,0.154,0.92,0.935,0.065
58 142Ce,,1.31E-01,0,1,0.496,0.504,0.195,0.126,0.874
59 141Pr,,1.72E-01,0.491,0.509,0.36,0.64,0.499,0.535,0.465
60 142Nd,,2.31E-01,1,0,1,0,0.983,1,0
60 143Nd,,1.03E-01,0.363,0.637,0.315,0.685,0.329,0.377,0.623
60 144Nd,,2.03E-01,0.528,0.472,0.508,0.492,0.522,0.565,0.435
60 145Nd,,7.50E-02,0.29,0.71,0.28,0.72,0.262,0.297,0.703
60 146Nd,,1.47E-01,0.632,0.368,0.637,0.363,0.66,0.699,0.301
60 148Nd,,4.90E-02,0.083,0.917,0.141,0.859,0.173,0.156,0.844
60 150Nd,,4.80E-02,0,1,0,1,-,0.003,0.997
62 147Sm,,4.10E-02,0.088,0.912,0.185,0.815,0.265,0.234,0.766
62 148Sm,,3.00E-02,1,0,1,0,1.034,1,0
62 149Sm,,3.70E-02,0.139,0.861,0.127,0.873,0.129,0.121,0.879
62 150Sm,,2.00E-02,1,0,1,0,1,1,0
62 152Sm,,7.10E-02,0.254,0.746,0.196,0.804,0.228,0.268,0.732
62 154Sm,,6.00E-02,0,1,0.008,0.992,0.025,0.049,0.951
63 151Eu,,4.71E-02,0,1,0.04,0.96,0.059,0.047,0.953
63 153Eu,,5.14E-02,0.04,0.96,0.037,0.963,0.061,0.05,0.95
64 154Gd,,7.80E-03,1,0,1,0,0.891,1,0
64 155Gd,,5.33E-02,0.062,0.938,0.122,0.878,0.06,0.057,0.943
64 156Gd,,7.36E-02,0.214,0.786,0.213,0.787,0.179,0.206,0.794
64 157Gd,,5.63E-02,0.132,0.868,0.163,0.837,0.111,0.097,0.903
64 158Gd,,8.94E-02,0.318,0.682,0.313,0.687,0.275,0.308,0.692
64 160Gd,,7.87E-02,0,1,0.058,0.942,0.007,0.022,0.978
65 159Tb,,6.34E-02,0.063,0.938,0.052,0.948,0.08,0.072,0.928
66 160Dy,,9.40E-03,1,0,1,0,0.901,1,0
66 161Dy,,7.62E-02,0.051,0.949,0.028,0.972,0.053,0.046,0.954
66 162Dy,,1.03E-01,0.137,0.863,0.125,0.875,0.16,0.159,0.841
66 163Dy,,1.01E-01,0.021,0.979,0.033,0.967,0.044,0.046,0.954
66 164Dy,,1.14E-01,0.165,0.835,0.097,0.903,0.239,0.243,0.757
67 165Ho,,9.10E-02,0.067,0.933,0.078,0.922,0.083,0.074,0.926
68 166Er,,8.80E-02,0.143,0.857,0.144,0.856,0.167,0.134,0.866
68 167Er,,6.00E-02,0.086,0.914,0.09,0.91,0.094,0.088,0.912
68 168Er,,7.10E-02,0.299,0.701,0.287,0.713,0.314,0.367,0.633
68 170Er,,3.90E-02,0.026,0.974,0.054,0.946,0.126,0.126,0.874
69 169Tm,,4.06E-02,0.162,0.838,0.163,0.837,0.091,0.128,0.872
70 170Yb,,7.60E-03,1,0,1,0,0.958,1,0
70 171Yb,,3.61E-02,0.121,0.879,0.177,0.823,0.227,0.226,0.774
70 172Yb,,5.56E-02,0.333,0.667,0.315,0.685,0.439,0.454,0.546
70 173Yb,,4.13E-02,0.205,0.795,0.235,0.765,0.278,0.305,0.695
70 174Yb,,8.21E-02,0.519,0.481,0.524,0.476,0.609,0.635,0.365
70 176Yb,,3.33E-02,0,1,0.123,0.877,0.072,0.115,0.885
71 175Lu,,3.70E-02,0.162,0.838,0.176,0.824,0.181,0.176,0.824
71 176Lu,,1.10E-03,1,0,1,0,1.055,1,0
72 176Hf,,8.10E-03,1,0,1,0,1.001,1,0
72 177Hf,,3.16E-02,0.172,0.828,0.247,0.753,0.173,0.175,0.825
72 178Hf,,4.25E-02,0.488,0.512,0.548,0.452,0.575,0.618,0.382
72 179Hf,,2.12E-02,0.318,0.682,0.349,0.651,0.412,0.451,0.549
72 180Hf,,5.47E-02,0.636,0.364,0.735,0.265,0.894,0.809,0.191
73 181Ta,,2.10E-02,0.409,0.591,0.495,0.505,0.466,0.503,0.497
74 182W,,3.63E-02,0.667,0.333,0.625,0.375,0.638,0.675,0.325
74 183W,,1.96E-02,0.65,0.35,0.668,0.332,0.622,0.701,0.299
74 184W,,4.20E-02,0.69,0.31,0.748,0.252,0.788,0.79,0.21
74 186W,,3.90E-02,0.162,0.838,0.372,0.628,0.424,0.279,0.721
75 185Re,,2.07E-02,0.222,0.778,0.271,0.729,0.27,0.341,0.659
75 187Re,,3.74E-02,0.029,0.971,0.15,0.85,0.094,0.048,0.952
76 186Os,,1.08E-02,1,0,1,0,1.035,1,0
76 187Os,,8.60E-03,0.99,0.01,1,0,0.374,0.751,0.249
76 188Os,,9.04E-02,0.168,0.832,0.217,0.783,0.282,0.209,0.791
76 189Os,,1.10E-01,0.035,0.965,0.064,0.936,0.048,0.041,0.959
76 190Os,,1.79E-01,0.111,0.889,0.151,0.849,0.146,0.132,0.868
76 192Os,,2.78E-01,0.003,0.997,0.018,0.982,0.033,0.018,0.982
77,191Ir,2.50E-01,0.02,0.98,0.084,0.916,0.019,0.015,0.985
77,193Ir,4.21E-01,0.007,0.993,0.078,0.922,0.014,0.009,0.991
78 192Pt,,1.00E-02,1,0,1,0,0.812,1,0
78 194Pt,,4.20E-01,0.044,0.956,0,1,0.049,0.072,0.928
78 195Pt,,4.31E-01,0.013,0.987,0,1,0.02,0.032,0.968
78 196Pt,,3.22E-01,0.101,0.899,0.062,0.938,0.123,0.0.867,
78 198Pt,,9.10E-02,0,1,0,1,0.001,0.027,0.973
79 197Au,,1.95E-01,0.054,0.946,0.021,0.979,0.061,0.058,0.942
80 198Hg,,4.60E-02,1,0,1,0,0.828,1,0
80 199Hg,,7.70E-02,0.271,0.729,0.342,0.658,0.216,0.255,0.745
80 200Hg,,1.06E-01,0.63,0.37,0.685,0.315,0.519,0.575,0.425
80 201Hg,,6.00E-02,0.426,0.574,0.558,0.442,0.399,0.428,0.572
80 202Hg,,1.37E-01,0.752,0.248,0.812,0.188,0.704,0.742,0.258
80 204Hg,,3.10E-02,0,1,0.142,0.858,0.082,0.038,0.962
81 203Tl,,5.40E-02,0.778,0.222,0.939,0.061,0.807,0.823,0.177
81 205Tl,,1.29E-01,0.594,0.406,0.615,0.385,0.667,0.735,0.265
82,204Pb,6.60E-02,1,0,1,0,0.87,1,0
82,206Pb,6.14E-01,0.594,0.406,0.679,0.321,0.729,0.688,0.312
82,207Pb,6.80E-01,0.528,0.472,0.791,0.209,0.702,0.706,0.294
82,208Pb 1.95E+00,,0.931,0.069,1,0,0.977,0.922,0.078
83,209Bi,1.38E-01,0.354,0.646,0.637,0.363,0.204,0.216,0.784
90 232Th,,4.40E-02,0,1,0,1,-,0,1
92,235U,5.80E-03,0,1,0,1,-,0,1
92,238U,1.80E-02,0,1,0,1,-,0,1
